index,team,last_name,first_name,selected_pos,season,plus_minus,def_rtg,off_rtg,mp,drb,ast,ft,W_pct,fg,pts,y_pred,proba
197,POR,Lillard,Damian,G,2021,2.9552,119.26865671641791,124.94029850746269,35.78830858486802,3.7463,7.5373,6.6716,0.5833333333333334,8.9851,28.7463,1,0.96907747
38,PHO,Booker,Devin,G,2021,4.9403,115.0,110.8955223880597,33.88258831536592,3.6866,4.3134,5.0746,0.7083333333333334,9.2985,25.5522,1,0.85772634
75,GSW,Curry,Stephen,G,2021,3.8438,110.734375,119.078125,34.256510615348816,5.0625,5.7188,5.7656,0.5342465753424658,10.4688,32.0625,1,0.84880203
338,ATL,Young,Trae,G,2021,4.2381,116.65079365079364,117.38095238095238,33.72486768450056,3.2857,9.4286,7.6825,0.5694444444444444,7.7302,25.3016,1,0.80441755
224,UTA,Mitchell,Donovan,G,2021,5.4151,111.18867924528301,116.20754716981132,33.42389750930498,3.4906,5.2264,5.0377,0.7222222222222222,9.0189,26.434,1,0.7972259
160,NJN,Irving,Kyrie,G,2021,4.2407,114.11111111111111,121.96296296296296,34.92993813973886,3.7963,6.0,3.7222,0.6666666666666666,10.1667,26.8704,1,0.76100415
128,NJN,Harden,James,G,2021,2.3182,113.06818181818181,123.52272727272727,36.56363929401744,7.1136,10.7955,6.3182,0.6666666666666666,7.7727,24.6136,0,0.5900464
26,WAS,Beal,Bradley,G,2021,-0.0806,115.29032258064517,113.95161290322581,35.664514387807536,3.6129,4.4355,6.6452,0.47297297297297297,11.1129,31.0484,0,0.4180758
8,MIL,Antetokounmpo,Giannis,F,2021,6.7049,106.42622950819673,122.80327868852459,32.9969946478234,9.4098,5.8525,6.5246,0.6388888888888888,10.2623,28.1475,1,0.99675494
85,DAL,Doncic,Luka,F,2021,2.4848,112.1969696969697,113.42424242424242,34.279293435992614,7.1515,8.5909,5.2121,0.5833333333333334,9.803,27.7273,1,0.8674762
92,NJN,Durant,Kevin,F,2021,7.8857,112.08571428571429,123.68571428571428,33.04809518541609,6.6857,5.5429,6.0,0.6666666666666666,9.2571,26.9429,1,0.79445446
194,LAC,Leonard,Kawhi,F,2021,8.5962,109.46153846153847,128.40384615384616,34.08814243169931,5.4231,5.1731,5.0192,0.6527777777777778,8.9423,24.8462,1,0.77961594
267,NYK,Randle,Julius,F,2021,2.1549,108.02816901408451,110.36619718309859,37.56220634890274,9.0,6.0141,4.9014,0.5694444444444444,8.4789,24.1127,1,0.7388363
167,LAL,James,LeBron,F,2021,6.5217,105.34782608695652,115.8913043478261,33.446013906727664,7.0435,7.8043,4.0,0.589041095890411,9.3261,24.9565,1,0.5807954
300,BOS,Tatum,Jayson,F,2021,2.8615,112.84615384615384,113.83076923076923,35.849999911968524,6.5846,4.3077,4.8,0.5068493150684932,9.5231,26.8,0,0.45547178
113,LAC,George,Paul,F,2021,8.0,110.62962962962963,113.24074074074075,33.72160427658646,5.8148,5.1852,3.6667,0.6527777777777778,8.2407,23.3148,0,0.44079778
220,MIL,Middleton,Khris,F,2021,4.25,112.94117647058823,116.3529411764706,33.36274461185231,5.1765,5.4412,3.1176,0.6388888888888888,7.5147,20.3676,0,0.39088136
434,NOH,Williamson,Zion,F,2021,1.459,115.73770491803279,126.72131147540983,33.21174965530145,4.4918,3.7049,6.0492,0.4305555555555556,10.3934,27.0,0,0.3389526
173,DEN,Jokic,Nikola,C,2021,5.3333,110.08333333333333,131.79166666666666,34.55648289786445,7.9861,8.3194,4.75,0.6527777777777778,10.1667,26.3611,1,0.9989293
95,PHI,Embiid,Joel,C,2021,7.9412,104.09803921568627,119.92156862745098,31.083004670984604,8.3333,2.8431,9.2353,0.6805555555555556,9.0392,28.451,1,0.9409673
117,UTA,Gobert,Rudy,C,2021,10.2535,101.22535211267606,131.54929577464787,30.798592419691488,10.1408,1.2535,3.2817,0.7222222222222222,5.507,14.2958,1,0.83562684
58,ATL,Capela,Clint,C,2021,3.9841,107.0952380952381,124.63492063492063,30.13439114888509,9.6032,0.7778,2.0635,0.5694444444444444,6.5714,15.2063,0,0.25948304
